programa_id,nombre,categoria
489,SRT: SISTEMA DE RIEGO POR GOTEO PARA 9 HA,
490,"ESTUFA ECOLÓGICA, CARRETILLA Y MICHILA ASPERSORA",
491,CORTADORA HILEADORA,
492,REHABILITACIÓN DE SISTEMA DE RIEGO POR GOTEO,
493,MEZCLADORA DE ALIMENTOS,
494,"SRT: REHABILITACION DEL SISTEMA ELECTROMECANICO DEL POZO OFICIAL NO 36, EN EL EJIDO EL SAUZ PEDRO ESCOBEDO Y POZO OFICIAL NO. 33 EN EL EJIDO EL ORGANAL SAN JUAN DEL RÍO",
495,PAQUETE TECNOLÓGICO (INSUMO PARA AGRICULTURA),
496,SRT: SISTEMA DE RIEGO POR MULTICOMPUERTAS,
497,DESTERRONADOR,
498,PERFORACION DE POZO,
499,PAQUETE DE MEDICAMIENTOS,
500,RASTRA HIDRAHULICA,
501,NIVELADORA (ESCREPA),
502,CONO FERTILIZADOR,
503,SEMBRADORA FERTILIZADORA,
504,"PAQUETE PEQUEÑA ESCALA (ASPERSORA, DESBROZADORA)",
505,"PAQUETE PEQUEÑA ESCALA (DESBROZADORA, DESGRANADORA DE MAÍZ, MOTOBOMBA)",
506,PROYECTO ESTRATEGICO AGRÍCOLA,
507,REMOLQUE AGRÍCOLA,
508,"PAQUETE PEQUEÑA ESCALA (DESBROZADORA, TINACO USO AGROPECUARIO (10,000 L))",
509,SISTEMA DE RIEGO POR COMPUERTAS,
510,MULTICULTIVADOR DE CONCERVACION,
511,"PAQUETE PEQUEÑA ESCALA (DESBROZADORA, MOCHILA ASPERSORA)",
512,MALLA CICLÓNICA,
513,SISTEMA DE COSECHA DE AGUA DELLUVIA ( CAPTACIÓN Y DEPOSITO DE AGUA),
514,PLANTA DE AGUACATE,
515,MATERIAL VEGETATIVO (NOPAL),
516,DESASOLVE DE BORDO,
517,PROYECTO ESTRATEGICO (BOMBA ELECTRICA TRIFASICA),
518,MOLINO PARA QUESO Y GRANOS,
519,SEMENTAL OVINO,
520,PROYECTO ESTRATEGICO (EQUIPAMIENTO PARA GALLINERO),
521,ELECTROBOMBA,
522,PROYECTO ESTRATÉGICO (CORRAL DE MANEJO),
